year,continent,month,total_vaccinations
2020,Africa,Apr,
2020,Africa,Aug,
2020,Africa,Dec,
2020,Africa,Feb,
2020,Africa,Jul,
2020,Africa,Jun,
2020,Africa,Mar,
2020,Africa,May,
2020,Africa,Nov,
2020,Africa,Oct,
2020,Africa,Sep,
2020,Asia,Apr,
2020,Asia,Aug,
2020,Asia,Dec,588342.1818181818
2020,Asia,Feb,
2020,Asia,Jan,
2020,Asia,Jul,
2020,Asia,Jun,
2020,Asia,Mar,
2020,Asia,May,
2020,Asia,Nov,
2020,Asia,Oct,
2020,Asia,Sep,
2020,Europe,Apr,
2020,Europe,Aug,
2020,Europe,Dec,14227.541666666666
2020,Europe,Feb,
2020,Europe,Jan,
2020,Europe,Jul,
2020,Europe,Jun,
2020,Europe,Mar,
2020,Europe,May,
2020,Europe,Nov,
2020,Europe,Oct,
2020,Europe,Sep,
2020,North America,Apr,
2020,North America,Aug,
2020,North America,Dec,32113.25
2020,North America,Feb,
2020,North America,Jan,
2020,North America,Jul,
2020,North America,Jun,
2020,North America,Mar,
2020,North America,May,
2020,North America,Nov,
2020,North America,Oct,
2020,North America,Sep,
2020,Oceania,Apr,
2020,Oceania,Aug,
2020,Oceania,Dec,
2020,Oceania,Feb,
2020,Oceania,Jan,
2020,Oceania,Jul,
2020,Oceania,Jun,
2020,Oceania,Mar,
2020,Oceania,May,
2020,Oceania,Nov,
2020,Oceania,Oct,
2020,Oceania,Sep,
2020,South America,Apr,
2020,South America,Aug,
2020,South America,Dec,8991.1
2020,South America,Feb,
2020,South America,Jan,
2020,South America,Jul,
2020,South America,Jun,
2020,South America,Mar,
2020,South America,May,
2020,South America,Nov,
2020,South America,Oct,
2020,South America,Sep,
2021,Africa,Apr,170919.97894736842
2021,Africa,Aug,1058088.719512195
2021,Africa,Dec,7045698.31092437
2021,Africa,Feb,75000.0
2021,Africa,Jan,336.25
2021,Africa,Jul,1044042.165467626
2021,Africa,Jun,847521.5032258064
2021,Africa,Mar,54781.86363636364
2021,Africa,May,583410.7428571428
2021,Africa,Nov,4285561.340136054
2021,Africa,Oct,2607512.88028169
2021,Africa,Sep,2120435.059602649
2021,Asia,Apr,27240520.339534882
2021,Asia,Aug,292986645.25615764
2021,Asia,Dec,486837437.2643678
2021,Asia,Feb,4090841.756756757
2021,Asia,Jan,3888381.8095238097
2021,Asia,Jul,235660472.33678755
2021,Asia,Jun,150107019.71134022
2021,Asia,Mar,11925355.029126214
2021,Asia,May,62954370.05529954
2021,Asia,Nov,400142610.62032086
2021,Asia,Oct,406560104.8238636
2021,Asia,Sep,367441978.59116024
2021,Europe,Apr,4272313.968390805
2021,Europe,Aug,19433725.93915344
2021,Europe,Dec,30298906.415204678
2021,Europe,Feb,951772.1993243244
2021,Europe,Jan,256335.68438538205
2021,Europe,Jul,16640095.882833788
2021,Europe,Jun,12030539.734072022
2021,Europe,Mar,2253169.5335365855
2021,Europe,May,7788433.527472528
2021,Europe,Nov,25883017.846385542
2021,Europe,Oct,22843879.39673913
2021,Europe,Sep,21041877.344173443
2021,North America,Apr,1437193.2331838566
2021,North America,Aug,8153503.833865815
2021,North America,Dec,14650870.19921875
2021,North America,Feb,440434.1818181818
2021,North America,Jan,414076.7804878049
2021,North America,Jul,6304050.6822429905
2021,North America,Jun,4419386.124579124
2021,North America,Mar,703457.8439306358
2021,North America,May,2669006.4945054944
2021,North America,Nov,13961417.254098361
2021,North America,Oct,12017247.293478262
2021,North America,Sep,10405747.505576208
2021,Oceania,Apr,1163237.1842105263
2021,Oceania,Aug,11786368.595238095
2021,Oceania,Dec,33519692.842105262
2021,Oceania,Feb,13233.461538461539
2021,Oceania,Jan,
2021,Oceania,Jul,7980232.717948718
2021,Oceania,Jun,4073347.511627907
2021,Oceania,Mar,218297.44736842104
2021,Oceania,May,2546175.714285714
2021,Oceania,Nov,28529679.825
2021,Oceania,Oct,24502478.658536587
2021,Oceania,Sep,19002368.0
2021,South America,Apr,9476816.961748634
2021,South America,Aug,45018920.046391755
2021,South America,Dec,83507087.22727273
2021,South America,Feb,1472942.2774193548
2021,South America,Jan,243244.15068493152
2021,South America,Jul,32981069.66137566
2021,South America,Jun,22705290.12972973
2021,South America,Mar,4262601.111702127
2021,South America,May,16332257.904494382
2021,South America,Nov,74490926.38502674
2021,South America,Oct,68186042.54054055
2021,South America,Sep,60640575.565476194
2022,Africa,Feb,9474066.736842105
2022,Africa,Jan,8357471.285714285
2022,Africa,Mar,
2022,Asia,Feb,720804244.3162394
2022,Asia,Jan,521283883.29281765
2022,Asia,Mar,2822060.0
2022,Europe,Feb,34205617.3742515
2022,Europe,Jan,33064295.027855154
2022,Europe,Mar,34735028.14285714
2022,North America,Feb,16934180.495535713
2022,North America,Jan,16547420.0234375
2022,North America,Mar,40715584.5
2022,Oceania,Feb,37807820.12820513
2022,Oceania,Jan,35958527.3
2022,Oceania,Mar,54155508.0
2022,South America,Feb,108266101.3896104
2022,South America,Jan,91646339.6534091
2022,South America,Mar,243263859.5
