location,date,total_cases_per_million,total_deaths_per_million,reproduction_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests,total_vaccinations,people_vaccinated_per_million,people_vaccinated,total_boosters,stringency_index,vaccination_rates,vaccination_result,population,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,excess_mortality_cumulative_per_million
Afghanistan,8/1/21,3702.759,169.121,0.00000073,,,,,,,,52.31,,,39835428,2.581,1803.987,,0.000597029,0.00000959,,,37.746,0.0000005,0.511,
Albania,8/1/21,46336.254,855.223,0.00000172,,,0.863664,1.203087,0.672765,672765,,37.96,23.41734965,very low,2872934,13.188,11803.431,0.0000011,0.000304195,0.00001008,0.0000071,0.0000512,,0.00000289,0.795,
Algeria,8/1/21,3867.706,96.175,0.000001,0.852,,,,,,,49.07,,,44616626,6.211,13913.839,0.0000005,0.000278364,0.00000673,0.0000007,0.0000304,83.741,0.0000019,0.748,
Andorra,8/1/21,189751.015,1654.73,0.00000098,,,,0.08632,0.050747,50747,,46.3,65.6035887,high,77354,,,,0.000109135,0.00000797,0.000029,0.0000378,,,0.868,
Angola,8/1/21,1261.728,29.941,0.000001,,,,,,,,56.94,,,33933611,2.405,5819.495,,0.000276045,0.00000394,,,26.664,,0.581,
Anguilla,8/1/21,7471.074,,,,,,,,,,,,,15125,,,,,,,,,,,
Antigua and Barbuda,8/1/21,13197.877,435.54,0.00000117,,,,,,,,,,,98728,6.933,21490.943,,0.000191511,0.00001317,,,,0.0000038,0.778,
Argentina,8/1/21,108228.438,2319.265,0.00000092,85.8,,19.803331,33.288684,25.83139,25831390,0.000491,75,56.64055224,high,45605823,11.198,18933.907,0.0000006,0.000191032,0.0000055,0.0000162,0.0000277,,0.000005,0.845,
Armenia,8/1/21,77604.133,1556.2,0.00000119,,,1.350559,0.17189,0.120285,120285,,,4.052554337,very low,2968128,11.232,8787.58,0.0000018,0.00034101,0.00000711,0.0000015,0.0000521,94.043,0.0000042,0.776,
Aruba,8/1/21,109753.253,1026.167,,,,,0.138513,0.072795,72795,,28.7,67.90895098,high,107195,13.085,35973.781,,,0.00001162,,,,,,
Australia,8/1/21,1342.163,35.869,0.00000133,2.288,11.245,25.183485,12.410127,8.445404,8445404,,68.06,32.74908071,low,25788217,15.504,44648.71,0.0000005,0.000107791,0.00000507,0.000013,0.0000165,,0.00000384,0.944,-351.1681323
Austria,8/1/21,72929.642,1187.428,0.00000121,3.317,13.933,66.916743,,,,,49.07,,,9043072,19.202,45436.686,0.0000007,0.000145183,0.00000635,0.0000284,0.0000309,,0.00000737,0.922,1065.345936
Azerbaijan,8/1/21,33699.345,491.718,0.00000161,,,,5.040778,2.923477,2923477,,61.11,28.59609341,low,10223344,6.018,15847.419,,0.000559812,0.00000711,0.0000003,0.0000425,83.241,0.0000047,0.756,
Bahamas,8/1/21,37388.452,723.079,0.00000115,,,,,,,,57.41,,,396914,8.996,27717.847,,0.000235954,0.00001317,0.0000031,0.0000204,,0.0000029,0.814,
Bahrain,8/1/21,154037.505,791.628,0.00000101,,,,2.314773,1.109612,1109612,,47.22,63.4682362,high,1748295,2.372,43290.705,,0.000151689,0.00001652,0.0000058,0.0000376,,0.000002,0.852,
Bangladesh,8/1/21,7602.534,125.77,0.00000116,,,7.791758,13.141815,8.80365,8803650,,93.52,5.293725218,very low,166303494,5.098,3523.984,0.0000148,0.000298003,0.00000838,0.000001,0.0000447,34.808,0.0000008,0.632,
Barbados,8/1/21,15317.614,166.836,0.00000115,,,,0.176467,0.099921,99921,,50,34.73000403,low,287708,14.952,16978.068,,0.00017005,0.00001357,0.0000019,0.0000145,88.469,0.0000058,0.814,
Belarus,8/1/21,47337.106,366.838,0.00000103,,,,2.380101,1.399234,1399234,,29.63,14.81789376,very low,9442867,14.799,17167.967,,0.000443129,0.00000518,0.0000105,0.0000461,,0.000011,0.823,
Belgium,8/1/21,96688.678,2169.9,0.00000119,8.167,29.487,17.354394,14.723988,8.112807,8112807,,47.22,69.74358714,high,11632334,18.571,42658.576,0.0000002,0.000114898,0.00000429,0.0000251,0.0000314,,0.00000564,0.931,1386.454344
Belize,8/1/21,34977.711,832.273,0.00000127,,,,,,,,63.89,,,404915,3.853,7824.362,,0.000176957,0.00001711,,,90.083,0.0000013,0.716,
Benin,8/1/21,674.161,8.674,0.00000038,,,,,,,,38.89,,,12451031,3.244,2064.236,0.0000496,0.000235848,0.00000099,0.0000006,0.0000123,11.035,0.0000005,0.545,
Bermuda,8/1/21,41357.985,531.469,,,,,,,,,37.96,,,62092,,50669.315,,0.000139547,0.000013,,,,,,
Bhutan,8/1/21,3228.619,2.564,0.00000069,,,,1.007951,0.534468,534468,,59.72,68.5303244,high,779900,4.885,8708.597,0.0000015,0.000217066,0.00000975,,,79.807,0.0000017,0.654,
Bolivia,8/1/21,40049.148,1507.572,0.00000088,10.395,83.411,2.095424,4.526177,3.124124,3124124,,56.48,26.4019344,low,11832936,6.704,6885.829,0.0000071,0.000204299,0.00000689,,,25.383,0.0000011,0.718,
Bonaire Sint Eustatius and Saba,8/1/21,64662.507,642.844,,,,,,,,,,,,26445,,,,,,,,,,,
Bosnia and Herzegovina,8/1/21,63017.492,2968.323,0.00000158,,,,,,,,35.19,,,3263459,16.569,11713.895,0.0000002,0.000329635,0.00001008,0.0000302,0.0000477,97.164,0.0000035,0.78,
Botswana,8/1/21,44505.348,654.503,0.00000131,,,,,,,,53.7,,,2397240,3.941,15807.374,,0.000237372,0.00000481,0.0000057,0.0000344,,0.0000018,0.735,
Brazil,8/1/21,93192.104,2603.309,0.00000089,,,,142.598659,105.29265,105292650,,56.94,49.20368097,low,213993441,8.552,14103.452,0.0000034,0.000177961,0.00000811,0.0000101,0.0000179,,0.0000022,0.765,
British Virgin Islands,8/1/21,82174.67,1018.966,,,,,,,,,,,,30423,,,,,0.00001367,,,,,,
Brunei,8/1/21,763.252,6.795,0.00000092,,,,,,,,37.96,,,441532,4.591,71809.251,,0.000201285,0.00001279,0.000002,0.0000309,,0.0000027,0.838,
Bulgaria,8/1/21,61645.537,2641.135,0.00000168,11.31,116.723,,2.030301,1.029158,1029158,,20.37,14.92256753,very low,6896655,20.801,18563.307,0.0000015,0.000424688,0.00000581,0.0000301,0.0000444,,0.000007454,0.816,4777.112963
Burkina Faso,8/1/21,632.085,7.862,0.00000108,,,,,,,,22.22,,,21497097,2.409,1703.102,0.0000437,0.000269048,0.00000242,0.0000016,0.0000239,11.877,0.0000004,0.452,
Burundi,8/1/21,577.703,0.734,0.00000118,,,,,,,,15.74,,,12255429,2.562,702.225,0.0000717,0.000293068,0.00000605,,,6.144,0.0000008,0.433,
